WARNING 2024-03-02 23:48:40,632 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,633 Not Found: /static/admin/css/responsive.css
INFO 2024-03-02 23:48:40,633 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2024-03-02 23:48:40,633 "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,634 "GET /static/admin/js/filters.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,634 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,636 Not Found: /static/admin/img/search.svg
WARNING 2024-03-02 23:48:40,636 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2024-03-02 23:48:40,637 "GET /static/admin/img/search.svg HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,637 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,639 Not Found: /static/admin/js/jquery.init.js
WARNING 2024-03-02 23:48:40,639 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,641 Not Found: /static/admin/js/core.js
WARNING 2024-03-02 23:48:40,642 "GET /static/admin/js/core.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,643 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2024-03-02 23:48:40,645 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,646 Not Found: /static/admin/js/actions.js
WARNING 2024-03-02 23:48:40,647 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,648 Not Found: /static/admin/js/urlify.js
WARNING 2024-03-02 23:48:40,649 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,651 Not Found: /static/admin/js/prepopulate.js
WARNING 2024-03-02 23:48:40,651 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,653 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2024-03-02 23:48:40,653 "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,656 Not Found: /static/admin/js/filters.js
WARNING 2024-03-02 23:48:40,656 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:48:40,657 "GET /static/admin/js/filters.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,657 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,658 Not Found: /static/admin/img/search.svg
WARNING 2024-03-02 23:48:40,659 "GET /static/admin/img/search.svg HTTP/1.1" 404 179
INFO 2024-03-02 23:49:47,043 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4319
WARNING 2024-03-02 23:49:47,048 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:49:47,049 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:49:47,049 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:49:47,050 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:49:47,050 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:49:47,051 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:49:47,051 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,051 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,051 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,053 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,053 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,053 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:47,055 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:49:47,055 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:49:57,232 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:49:57,243 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
WARNING 2024-03-02 23:49:57,248 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:49:57,249 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:49:57,249 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:49:57,249 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:49:57,249 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:49:57,251 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:49:57,252 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,252 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,252 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,252 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,253 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,253 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:49:57,254 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:49:57,254 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:50:16,613 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:50:16,621 "GET /admin/ HTTP/1.1" 200 7052
WARNING 2024-03-02 23:50:16,626 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:50:16,627 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:50:16,627 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:50:16,628 Not Found: /static/admin/css/dashboard.css
WARNING 2024-03-02 23:50:16,628 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:50:16,629 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:50:16,629 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,630 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,630 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,630 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,630 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,630 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:16,632 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:50:16,632 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:50:52,700 "GET /admin/storeapp/client/ HTTP/1.1" 200 14727
WARNING 2024-03-02 23:50:52,706 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:50:52,706 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:50:52,706 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:50:52,707 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2024-03-02 23:50:52,708 Not Found: /static/admin/css/changelists.css
WARNING 2024-03-02 23:50:52,708 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,710 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,710 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,711 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,711 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,712 Not Found: /static/admin/js/jquery.init.js
WARNING 2024-03-02 23:50:52,713 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:50:52,713 Not Found: /static/admin/js/core.js
WARNING 2024-03-02 23:50:52,714 Not Found: /static/admin/js/actions.js
WARNING 2024-03-02 23:50:52,715 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2024-03-02 23:50:52,716 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,716 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,716 "GET /static/admin/js/core.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,718 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:50:52,718 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:50:52,719 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
INFO 2024-03-02 23:50:52,719 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2024-03-02 23:50:52,719 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,720 Not Found: /static/admin/js/urlify.js
WARNING 2024-03-02 23:50:52,721 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2024-03-02 23:50:52,721 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,721 Not Found: /static/admin/img/search.svg
WARNING 2024-03-02 23:50:52,723 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:50:52,723 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
INFO 2024-03-02 23:50:52,724 - Broken pipe from ('127.0.0.1', 59077)
WARNING 2024-03-02 23:50:52,724 "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
